id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
31 Mar 20:45 2363489,undefined,EPIC DUDES,Inferno,Bibu,49-30,95.9,81.1%,1.44,NaToSaphiX,35-25,68.4,84.9%,1.20,AcilioN,37-35,76.0,71.7%,1.09,ritchiEE,32-30,63.7,71.7%,1.03,Sterzig,31-30,67.1,77.4%,1.00,HadeZ,34-35,78.1,71.7%,1.10,DreaM,32-39,72.9,60.4%,1.00,rapala,34-40,74.8,66.0%,0.93,Bonga,28-36,58.7,69.8%,0.86,jansen,19-36,49.4,73.6%,0.76,Nuke,ritchiEE,23-11,98.2,76.0%,1.60,AcilioN,21-12,91.9,80.0%,1.36,NaToSaphiX,14-13,60.0,80.0%,1.14,Sterzig,16-16,69.3,80.0%,1.06,Bibu,15-13,61.6,76.0%,1.04,Bonga,22-15,101.8,72.0%,1.42,HadeZ,19-17,63.2,64.0%,1.01,jansen,11-17,52.7,68.0%,0.70,DreaM,9-20,41.4,52.0%,0.50,rapala,3-21,35.1,48.0%,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Mar 18:40 2363382,Spirit Academy,Monte,Nuke,donk,24-18,95.8,80.8%,1.41,S0tF1k,22-14,80.2,73.1%,1.28,zont1x,16-17,82.5,80.8%,1.20,ArtFr0st,21-15,76.0,73.1%,1.18,baz,17-16,63.5,88.5%,1.17,Woro2k,27-19,100.1,80.8%,1.48,sdy,17-20,90.4,80.8%,1.14,kRaSnaL,15-19,64.9,69.2%,0.88,DemQQ,10-21,39.8,57.7%,0.53,BOROS,11-21,40.3,46.2%,0.52,Anubis,donk,24-21,101.7,75.9%,1.38,zont1x,21-20,76.7,75.9%,1.14,ArtFr0st,20-23,59.7,72.4%,0.94,S0tF1k,18-24,88.1,58.6%,0.91,baz,11-20,37.4,62.1%,0.63,sdy,28-17,111.5,72.4%,1.54,BOROS,24-19,79.9,75.9%,1.22,kRaSnaL,20-18,71.5,79.3%,1.10,Woro2k,19-22,67.5,82.8%,1.01,DemQQ,17-19,69.7,62.1%,0.90,Vertigo,zont1x,18-19,83.7,60.0%,1.10,baz,13-18,48.7,56.0%,0.76,S0tF1k,10-16,59.3,64.0%,0.73,ArtFr0st,14-18,51.2,64.0%,0.72,donk,12-21,57.4,52.0%,0.67,sdy,24-11,100.2,84.0%,1.61,Woro2k,25-10,83.6,80.0%,1.51,BOROS,19-18,77.8,80.0%,1.21,kRaSnaL,12-16,63.4,80.0%,1.00,DemQQ,12-13,59.3,72.0%,0.94
31 Mar 19:00 2363476,MIBR Academy,Furious,Ancient,card,26-17,117.2,71.4%,1.65,nicks,18-17,72.9,75.0%,1.09,brn$,14-18,62.8,67.9%,0.94,diozera,16-21,56.8,57.1%,0.78,phx,15-20,63.8,67.9%,0.76,Andrew,25-17,91.9,85.7%,1.29,KAISER,18-17,77.5,71.4%,1.10,ABM,18-20,64.6,60.7%,0.93,laser,13-18,62.4,67.9%,0.91,tom1jed,16-18,58.6,64.3%,0.91,Inferno,nicks,27-17,99.6,76.7%,1.48,card,23-17,78.4,70.0%,1.28,phx,22-20,80.0,73.3%,1.11,brn$,10-17,40.0,60.0%,0.73,diozera,11-19,47.9,66.7%,0.66,tom1jed,25-18,92.9,73.3%,1.31,KAISER,19-16,55.1,76.7%,1.09,ABM,19-18,67.9,73.3%,1.04,laser,13-19,55.6,60.0%,0.77,Andrew,13-22,65.3,60.0%,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Mar 17:30 2363420,AGO,EPIC DUDES,Overpass,asran,25-19,100.4,82.8%,1.31,Enzo,20-18,76.4,72.4%,1.20,tomiko,23-21,71.1,62.1%,1.09,darchevile,15-18,58.1,75.9%,0.96,maaryy,14-19,52.3,62.1%,0.77,rapala,27-18,78.9,79.3%,1.30,HadeZ,18-16,73.6,65.5%,1.07,MRC9,20-24,77.4,79.3%,1.00,DreaM,16-17,64.1,65.5%,0.96,Bonga,14-22,58.1,51.7%,0.70,Nuke,asran,21-12,86.3,81.8%,1.51,maaryy,15-9,76.4,81.8%,1.36,tomiko,16-12,76.1,90.9%,1.34,Enzo,19-14,93.5,77.3%,1.33,darchevile,16-13,75.6,63.6%,1.08,Bonga,18-17,102.3,77.3%,1.27,DreaM,12-15,53.9,68.2%,0.80,MRC9,10-18,47.0,63.6%,0.61,HadeZ,11-17,48.1,59.1%,0.56,rapala,9-20,53.7,36.4%,0.53,Ancient,maaryy,20-19,89.9,59.3%,1.10,tomiko,19-23,80.1,66.7%,1.03,asran,17-19,70.4,63.0%,0.90,Enzo,17-23,89.3,59.3%,0.87,darchevile,11-22,47.2,63.0%,0.59,DreaM,26-13,92.5,81.5%,1.52,Bonga,22-16,90.3,81.5%,1.32,HadeZ,21-16,78.1,74.1%,1.26,MRC9,20-19,71.7,88.9%,1.19,rapala,16-20,80.5,81.5%,1.10
31 Mar 16:30 2363321,Ninjas in Pyjamas,Cloud9,Ancient,REZ,13-17,66.7,66.7%,0.86,k0nfig,14-19,64.7,62.5%,0.84,headtr1ck,14-19,53.8,50.0%,0.68,Brollan,11-22,65.5,58.3%,0.66,Aleksib,8-18,51.3,54.2%,0.55,Ax1Le,23-8,102.4,83.3%,1.62,sh1ro,21-11,86.6,83.3%,1.51,buster,17-13,84.8,83.3%,1.25,nafany,16-13,73.1,87.5%,1.24,HObbit,17-15,68.5,79.2%,1.14,Overpass,Brollan,24-14,98.4,65.4%,1.44,REZ,23-13,88.3,80.8%,1.38,k0nfig,20-14,76.2,76.9%,1.21,headtr1ck,13-14,51.5,73.1%,0.94,Aleksib,13-13,55.0,65.4%,0.88,buster,20-16,75.3,65.4%,1.20,HObbit,14-18,67.8,57.7%,0.92,nafany,11-19,47.8,46.2%,0.67,Ax1Le,13-21,63.2,53.8%,0.67,sh1ro,10-19,59.5,53.8%,0.64,Vertigo,REZ,15-16,73.0,73.9%,1.08,Brollan,16-20,85.3,52.2%,0.95,Aleksib,11-16,64.8,78.3%,0.82,headtr1ck,12-15,40.1,65.2%,0.74,k0nfig,6-20,43.3,47.8%,0.45,HObbit,24-11,102.4,82.6%,1.59,buster,17-8,77.3,78.3%,1.36,sh1ro,19-14,86.9,73.9%,1.29,nafany,14-16,96.2,73.9%,1.19,Ax1Le,13-11,57.4,69.6%,0.89
31 Mar 16:00 2363418,JANO,Make Your Destiny,Anubis,allu,28-17,72.3,77.8%,1.32,sLowi,26-26,84.1,75.0%,1.15,ZOREE,19-23,66.8,72.2%,0.93,Alxc,21-26,65.2,63.9%,0.84,Sm1llee,14-26,54.4,58.3%,0.76,Linko,30-25,83.4,80.6%,1.31,seabraez,27-23,89.1,80.6%,1.20,krazy,19-19,55.8,77.8%,1.06,JAEPE,20-19,60.7,80.6%,1.03,P3R3IIRA,21-22,61.0,72.2%,0.97,Mirage,allu,25-9,107.2,82.6%,1.93,sLowi,23-10,113.3,78.3%,1.75,Sm1llee,22-12,92.6,91.3%,1.52,ZOREE,12-13,59.2,73.9%,1.00,Alxc,10-18,48.3,65.2%,0.78,krazy,17-18,75.6,60.9%,0.96,JAEPE,14-17,61.7,39.1%,0.82,seabraez,13-17,52.2,78.3%,0.74,P3R3IIRA,9-19,63.3,52.2%,0.58,Linko,9-21,58.3,47.8%,0.49,Inferno,Alxc,18-22,71.2,73.3%,1.15,allu,18-17,80.5,76.7%,1.09,sLowi,17-20,76.8,70.0%,1.00,ZOREE,18-16,64.7,66.7%,0.97,Sm1llee,19-20,65.8,70.0%,0.95,seabraez,21-17,78.4,80.0%,1.26,JAEPE,27-18,73.0,63.3%,1.24,P3R3IIRA,20-18,64.4,73.3%,1.04,krazy,16-16,56.4,66.7%,0.92,Linko,11-21,69.6,80.0%,0.92
31 Mar 15:40 2363381,Monte,BIG Academy,Mirage,BOROS,24-18,107.2,65.4%,1.41,DemQQ,21-15,78.7,76.9%,1.27,Woro2k,17-12,65.7,65.4%,1.16,kRaSnaL,14-12,61.4,61.5%,0.99,sdy,13-17,60.9,61.5%,0.89,prosus,18-17,81.7,69.2%,0.99,ArroW,12-19,58.2,61.5%,0.84,skyye,15-16,58.2,61.5%,0.81,S3NSEY,15-19,55.6,57.7%,0.80,s1n,14-18,64.4,53.8%,0.78,Vertigo,DemQQ,24-20,91.2,76.7%,1.21,BOROS,21-23,82.4,63.3%,1.11,sdy,18-17,75.4,76.7%,1.04,kRaSnaL,20-22,69.1,66.7%,0.96,Woro2k,21-20,59.7,73.3%,0.93,skyye,28-18,87.7,80.0%,1.42,prosus,22-23,78.1,70.0%,1.16,ArroW,20-21,76.9,63.3%,1.02,S3NSEY,18-21,70.5,70.0%,0.96,s1n,14-21,64.4,80.0%,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Mar 14:00 2363419,undefined,Fourteen,Inferno,NaToSaphiX,32-20,82.3,77.8%,1.35,AcilioN,26-26,82.0,80.6%,1.20,ritchiEE,26-26,82.0,75.0%,1.16,Sterzig,25-27,65.4,69.4%,1.00,Bibu,12-26,46.0,75.0%,0.77,shellzi,28-27,99.3,75.0%,1.27,BLOODZ,31-24,85.0,66.7%,1.23,RIZZZ,23-21,70.0,80.6%,1.10,whatz,19-23,60.5,77.8%,1.00,pr,23-26,63.8,80.6%,0.89,Nuke,NaToSaphiX,26-9,103.0,87.0%,1.75,Sterzig,17-16,77.8,91.3%,1.27,AcilioN,16-10,68.7,78.3%,1.22,ritchiEE,14-13,73.6,78.3%,1.15,Bibu,13-14,68.7,82.6%,1.12,whatz,16-13,70.1,65.2%,1.16,shellzi,18-19,86.7,65.2%,1.06,BLOODZ,9-15,54.5,69.6%,0.75,pr,13-20,63.5,65.2%,0.74,RIZZZ,6-19,36.7,43.5%,0.43,Vertigo,NaToSaphiX,26-16,90.2,88.5%,1.44,ritchiEE,20-17,86.6,76.9%,1.28,Sterzig,20-15,84.2,76.9%,1.23,AcilioN,20-20,77.4,80.8%,1.12,Bibu,15-17,66.3,88.5%,1.05,whatz,20-16,77.7,76.9%,1.19,BLOODZ,22-20,79.3,80.8%,1.10,RIZZZ,16-20,77.6,69.2%,0.97,shellzi,14-21,65.2,69.2%,0.86,pr,13-24,73.0,69.2%,0.79
31 Mar 12:00 2363465,GODSENT,fnatic,Ancient,draken,21-10,83.1,84.6%,1.55,joel,23-16,98.1,80.8%,1.38,RuStY,22-14,88.9,76.9%,1.36,ztr,15-17,63.0,80.8%,0.99,Plopski,15-15,62.1,65.4%,0.91,roeJ,26-16,101.8,73.1%,1.35,nicoodoz,19-21,77.2,69.2%,1.07,KRIMZ,13-19,69.0,46.2%,0.76,FASHR,10-20,40.7,57.7%,0.58,mezii,4-21,37.5,42.3%,0.33,Overpass,RuStY,25-17,85.0,82.8%,1.36,draken,18-16,63.8,72.4%,1.10,joel,18-20,68.3,69.0%,1.06,ztr,16-22,75.9,69.0%,0.88,Plopski,13-21,53.6,62.1%,0.66,mezii,25-18,86.8,72.4%,1.21,FASHR,23-17,79.4,72.4%,1.17,roeJ,20-21,86.7,65.5%,1.17,KRIMZ,15-13,43.9,69.0%,0.93,nicoodoz,13-21,60.4,62.1%,0.79,Anubis,RuStY,27-16,111.0,88.0%,1.65,joel,23-17,101.8,80.0%,1.46,ztr,17-13,62.6,72.0%,1.17,draken,19-17,63.7,56.0%,1.01,Plopski,10-18,53.9,68.0%,0.84,nicoodoz,21-18,78.8,60.0%,1.08,roeJ,17-21,84.9,72.0%,1.05,mezii,13-18,60.3,68.0%,0.89,KRIMZ,15-19,67.0,72.0%,0.88,FASHR,15-20,68.4,60.0%,0.83
31 Mar 12:00 2363380,Spirit Academy,Endpoint,Vertigo,donk,28-12,113.8,75.0%,1.87,zont1x,19-12,85.5,70.8%,1.49,ArtFr0st,16-10,69.3,83.3%,1.25,baz,13-12,56.6,83.3%,1.06,S0tF1k,11-16,55.1,79.2%,0.91,mhL,18-18,76.8,75.0%,1.06,Surreal,17-16,76.3,66.7%,1.02,HeavyGod,12-18,64.5,62.5%,0.75,Fessor,8-18,50.7,58.3%,0.60,MiGHTYMAX,5-18,39.0,50.0%,0.46,Inferno,zont1x,19-14,90.0,79.2%,1.30,donk,13-18,65.0,62.5%,0.87,baz,11-16,60.7,66.7%,0.85,S0tF1k,13-19,53.7,62.5%,0.74,ArtFr0st,8-15,46.9,62.5%,0.64,Fessor,27-13,130.1,79.2%,2.01,mhL,23-13,105.8,75.0%,1.56,MiGHTYMAX,13-12,63.2,79.2%,1.04,HeavyGod,10-12,38.4,70.8%,0.85,Surreal,9-14,45.8,79.2%,0.84,Mirage,zont1x,32-14,108.6,86.2%,1.67,donk,23-21,79.0,79.3%,1.21,baz,15-18,52.3,69.0%,0.91,S0tF1k,13-19,64.3,65.5%,0.86,ArtFr0st,14-19,51.1,65.5%,0.81,Fessor,20-18,87.7,72.4%,1.20,Surreal,20-20,88.1,62.1%,1.11,HeavyGod,18-20,72.9,72.4%,1.04,MiGHTYMAX,18-20,80.5,72.4%,0.96,mhL,15-20,58.4,69.0%,0.79
