player,kills,deaths,adr,kast,rating,team_on,team_against,map
max,22,17,89.8,80.0%,1.43,9z,fnatic,Nuke
ZywOo,30,11,95.0,85.2%,1.65,Vitality,MIBR,Anubis
frozen,23,17,93.1,70.4%,1.25,MOUZ,9INE,Vertigo
faveN,21,18,80.1,80.0%,1.16,BIG,Heroic,Vertigo
boltz,23,9,111.7,73.7%,1.96,Imperial,TheMongolz,Overpass
Aleksib,19,18,65.0,80.8%,1.07,Ninjas in Pyjamas,Natus Vincere,Mirage
adamS,17,15,75.8,79.2%,1.06,Nexus,Illuminar,Overpass
sdy,24,6,115.8,85.0%,2.02,Monte,LDLC,Nuke
donk,30,18,103.4,76.9%,1.59,Spirit Academy,Let us cook,Nuke
AZUWU,28,20,109.1,82.8%,1.6,Coalesce,Viperio,Ancient
Maka,17,15,61.9,71.4%,1.11,HEET,ALTERNATE aTTaX,Anubis
simke,28,14,106.6,84.6%,1.57,Zero Tenacity,ENCE Academy,Nuke
shaiK,14,17,76.1,61.9%,0.86,359,PROSPECTS,Ancient
Peppzor,16,16,72.4,75.0%,1.09,EYEBALLERS,BIG Academy,Anubis
Demho,15,16,66.7,70.8%,1.07,Illuminar,Enterprise,Inferno
ragga,35,20,128.3,90.0%,1.78,Nexus,PGE Turow,Mirage
dobbo,23,18,96.3,73.3%,1.35,Into the Win,HEET,Inferno
br0,25,18,105.7,73.1%,1.46,Astralis Talent,Nexus,Mirage
TMB,27,15,94.8,82.1%,1.53,Copenhagen Flames,Sampi,Anubis
ROGA,23,17,82.8,82.1%,1.3,Partizan,Apeks,Inferno
aVN,18,18,58.6,63.0%,0.96,Zero Tenacity,PROSPECTS,Mirage
Lucky,25,15,102.1,87.0%,1.56,Tricked,ECLOT,Inferno
oxygeN,13,17,66.0,50.0%,0.76,359,Iron Branch,Overpass
Ganginho,21,19,74.7,59.3%,1.06,Iron Branch,ENCE Academy,Mirage
b1elany,27,20,86.9,76.7%,1.32,PGE Turow,Enterprise,Ancient
MisteM,21,15,88.0,74.1%,1.39,ATK,Strife,Vertigo
keiz,21,15,66.6,65.4%,1.22,ARCTIC,Paquetá,Overpass
yungher,26,16,89.0,83.3%,1.54,B4 fe,MIBR fe,Inferno
skullz,27,12,92.7,80.0%,1.7,paiN,Strife,Mirage
zdr,24,18,96.9,66.7%,1.29,W7M Academy,BESTIA,Inferno
gabs,14,16,74.8,65.0%,0.94,FURIA fe,Black Dragons fe,Nuke
togs,27,17,97.7,77.8%,1.42,Sharks,Paquetá,Nuke
dare,30,17,108.7,77.8%,1.49,timbermen,ATK,Mirage
keiz,30,17,88.5,82.1%,1.47,ARCTIC,FURIA Academy,Vertigo
HENU,28,14,103.1,78.6%,1.65,ENCE Academy,BLINK,Mirage
try,21,9,78.3,86.4%,1.57,9z,BESTIA,Ancient
vanessa,18,19,71.8,72.0%,1.02,Shimmer,Detonate SparX,Anubis
saadzin,12,20,54.7,59.1%,0.71,W7M Academy,MIBR,Inferno
keiz,27,12,94.2,83.3%,1.58,ARCTIC,INTZ,Ancient
uhKelsie,22,16,98.2,85.2%,1.37,ex-CLG Red,EG Gold,Ancient
vsm,21,22,89.4,70.0%,1.15,Fluxo,Paquetá,Overpass
shield,15,18,61.4,62.5%,0.86,The Prodigies,Sampi,Overpass
josi,19,21,84.5,59.3%,1.1,BIG EQUIPA,9 Pandas Fearless,Anubis
kye,23,16,88.6,88.0%,1.48,FURIA Academy,Boca Juniors,Overpass
Anlelele,51,48,93.7,61.7%,1.13,MASONIC,ALTERNATE aTTaX,Overpass
rdnzao,29,16,122.6,80.0%,1.87,Sharks,Case,Ancient
broky,32,16,89.6,73.5%,1.45,FaZe,Cloud9,Mirage
prosus,32,24,95.8,67.6%,1.37,BIG Academy,ENCE Academy,Vertigo
deb0,24,15,101.4,76.0%,1.54,BLINK,Nexus,Inferno
Kristou,19,21,87.0,66.7%,1.07,Astralis Talent,ENCE Academy,Mirage
HObbit,25,21,98.9,69.0%,1.39,Cloud9,BIG,Anubis
BOROS,27,23,86.3,73.3%,1.24,Monte,Vitality,Nuke
ultimate,13,17,59.5,59.1%,0.86,PGE Turow,Iron Branch,Anubis
Bwills,27,20,95.8,75.0%,1.33,Nouns,Party Astronauts,Mirage
Trucklover86,21,22,78.9,70.0%,1.12,Mythic,timbermen,Overpass
reck,37,24,82.4,83.3%,1.38,ATK,Party Astronauts,Vertigo
ALLE,23,18,92.2,65.5%,1.25,Paquetá,Solid,Overpass
kNgV-,22,16,79.4,66.7%,1.2,O PLANO,INTZ,Ancient
misutaaa,26,23,90.2,75.9%,1.29,Falcons,BIG,Nuke
HeavyGod,26,17,90.6,85.7%,1.37,Endpoint,BIG Academy,Vertigo
Jelo,30,19,113.3,75.0%,1.47,VISU,Sampi,Ancient
Lucaozy,22,10,108.6,94.7%,1.82,Fluxo,RED Canids,Vertigo
r1nkle,20,18,66.8,68.0%,1.03,B8,Cloud9,Ancient
ropz,25,15,92.5,82.8%,1.35,FaZe,Aurora,Ancient
INS,29,21,124.8,72.0%,1.55,Grayhound,VERTEX,Vertigo
sh1ro,32,23,86.7,77.1%,1.22,Cloud9,ENCE,Ancient
Majster,32,20,107.9,85.2%,1.64,ESCA,Nigma Galaxy,Nuke
m0NESY,20,22,78.9,75.9%,1.12,G2,Vitality,Mirage
ultimate,28,18,83.6,62.1%,1.31,PGE Turow,PROSPECTS,Vertigo
deb0,28,25,84.7,58.3%,1.11,BLINK,Sampi,Ancient
k1to,19,18,75.4,63.0%,1.09,BIG,Ninjas in Pyjamas,Vertigo
KENSI,24,17,84.7,71.4%,1.2,Aurora,FORZE,Inferno
M1key,31,22,116.3,80.0%,1.6,Enterprise,Zero Tenacity,Mirage
BRACE,20,10,90.0,86.4%,1.6,VERTEX,Encore,Anubis
cynic,25,10,113.9,86.4%,1.82,Nouns,Party Astronauts,Overpass
SLIGHT,22,20,84.3,64.3%,1.15,Detonate,ATK,Inferno
buda,25,19,92.4,86.2%,1.38,9z,00NATION,Overpass
skullz,30,19,92.9,75.0%,1.32,paiN,FLUFFY AIMERS,Inferno
cxzi,27,21,104.2,69.0%,1.5,Party Astronauts,ATK,Overpass
togs,28,16,85.4,70.0%,1.32,Sharks,paiN Academy,Anubis
MarKE,26,19,87.2,79.3%,1.32,Nouns,Detonate,Inferno
coldzera,27,18,119.1,65.4%,1.57,00NATION,Fluxo,Mirage
proSHOW,15,17,79.6,57.9%,0.91,Corinthians,Case,Vertigo
Kamion,23,11,117.0,90.9%,1.83,DomiNation,LDLC,Inferno
darko,24,16,78.3,78.6%,1.23,PGE Turow,AGO,Vertigo
Noktse,21,19,77.7,70.0%,1.09,BESTIA,FURIA Academy,Overpass
Ganginho,21,15,88.3,74.1%,1.39,Iron Branch,ENCE Academy,Mirage
